ID,Должность,Возраст,Опыт_лет,Город,Образование,Уровень,Отрасль,Язык_программирования,Уровень_английского,Количество_проектов,Зарплата_тыс
1,Full Stack Developer,42,16.0,Екатеринбург,Бакалавр,Architect,Промышленность,PHP,C1,14,600.0
2,Data Analyst,38,13.2,Самара,Бакалавр,Lead,Госсектор,Python,B2,14,600.0
3,System Administrator,35,8.9,Ростов-на-Дону,MBA,Senior,E-commerce,Ruby,B2,9,485.2
4,Frontend Developer,35,12.3,Волгоград,Магистр,Lead,Промышленность,Ruby,B2,12,600.0
5,Cloud Architect,23,3.9,Волгоград,Бакалавр,Junior,Финтех,C++,C2,4,230.1
6,QA Engineer,35,9.3,Уфа,Магистр,Senior,Ритейл,JavaScript,C1,11,419.5
7,Product Manager,33,12.3,Пермь,Среднее,Lead,Промышленность,PHP,A1,9,600.0
8,Data Analyst,24,0.8,Ростов-на-Дону,Магистр,Junior,Телеком,Ruby,A2,1,103.1
9,Software Engineer,35,12.7,Воронеж,Магистр,Lead,E-commerce,PHP,C2,13,600.0
10,Python Developer,28,8.0,Волгоград,Магистр,Middle,E-commerce,Kotlin,B2,7,357.5
11,Cloud Architect,51,18.0,Краснодар,Бакалавр,Architect,E-commerce,C++,C1,18,600.0
12,Backend Developer,38,17.7,Воронеж,Бакалавр,Architect,Телеком,C++,C2,17,600.0
13,Product Manager,30,7.4,Уфа,PhD,Middle,Ритейл,Java,C2,5,433.5
14,Security Engineer,26,4.8,Москва,Бакалавр,Middle,Медицина,C++,A1,3,270.1
15,Product Manager,22,5.4,Санкт-Петербург,MBA,Middle,Госсектор,Python,A2,6,588.0
16,Full Stack Developer,28,5.9,Уфа,Бакалавр,Middle,IT,Ruby,B1,7,288.5
17,Cloud Architect,42,16.2,Воронеж,PhD,Architect,Госсектор,Swift,B2,12,600.0
18,System Administrator,39,17.2,Ростов-на-Дону,PhD,Architect,IT,Ruby,B2,16,600.0
19,Data Analyst,29,8.0,Екатеринбург,Бакалавр,Senior,IT,Kotlin,A1,9,353.0
20,Data Scientist,46,19.9,Екатеринбург,Бакалавр,Architect,Промышленность,Java,B1,17,600.0
21,Backend Developer,38,15.7,Ростов-на-Дону,PhD,Lead,E-commerce,Java,C2,15,600.0
22,Software Engineer,23,0.6,Екатеринбург,Магистр,Junior,IT,C++,A1,0,124.2
23,Security Engineer,32,6.8,Краснодар,Магистр,Middle,Госсектор,Java,C2,5,380.3
24,Security Engineer,36,12.0,Москва,Бакалавр,Lead,Образование,Python,B2,13,600.0
25,Product Manager,36,14.6,Уфа,Бакалавр,Lead,IT,Swift,C1,13,600.0
26,Security Engineer,42,19.3,Нижний Новгород,Бакалавр,Architect,E-commerce,Swift,A2,16,600.0
27,Data Analyst,26,1.9,Москва,Бакалавр,Junior,Промышленность,JavaScript,A2,2,108.5
28,Python Developer,27,3.2,Пермь,Бакалавр,Junior,Телеком,Swift,C1,3,187.7
29,Software Engineer,35,12.7,Новосибирск,Среднее,Lead,Ритейл,JavaScript,C2,11,595.1
30,QA Engineer,37,11.1,Уфа,Среднее,Senior,Образование,C#,A1,10,325.0
31,Product Manager,25,4.7,Волгоград,Бакалавр,Middle,Финтех,Ruby,B2,5,313.1
32,Product Manager,38,14.4,Казань,Магистр,Lead,Телеком,C#,A2,12,600.0
33,Cloud Architect,35,14.1,Казань,Бакалавр,Lead,IT,PHP,C1,11,600.0
34,System Administrator,46,14.9,Ростов-на-Дону,Бакалавр,Lead,Образование,C#,C2,13,600.0
35,Cloud Architect,24,1.3,Москва,Магистр,Junior,Образование,Ruby,B2,5,232.9
36,Full Stack Developer,23,1.4,Воронеж,Магистр,Junior,Медицина,Python,B2,2,198.6
37,Data Analyst,35,13.7,Москва,PhD,Lead,Промышленность,Java,A1,13,600.0
38,QA Engineer,24,4.5,Самара,Среднее,Middle,Промышленность,Ruby,A1,5,168.5
39,System Administrator,40,17.0,Ростов-на-Дону,Магистр,Architect,Образование,PHP,B2,17,600.0
40,System Administrator,30,6.0,Краснодар,Магистр,Middle,Промышленность,JavaScript,A1,7,265.5
41,Full Stack Developer,43,18.6,Екатеринбург,Магистр,Architect,Ритейл,Python,A1,14,600.0
42,Backend Developer,30,6.3,Пермь,Бакалавр,Middle,Ритейл,C#,B1,9,276.1
43,DevOps Engineer,40,13.6,Самара,Среднее,Lead,Образование,Kotlin,C2,11,600.0
44,Machine Learning Engineer,40,17.8,Нижний Новгород,Магистр,Architect,Телеком,Python,C1,17,600.0
45,Security Engineer,37,14.2,Екатеринбург,MBA,Lead,IT,Python,C2,15,600.0
46,Cloud Architect,38,18.2,Новосибирск,Магистр,Architect,Телеком,Kotlin,A2,16,600.0
47,Security Engineer,34,10.1,Новосибирск,Бакалавр,Senior,Ритейл,Swift,A1,12,490.4
48,Cloud Architect,33,9.8,Казань,PhD,Senior,Образование,C#,C2,11,600.0
49,DevOps Engineer,35,11.3,Нижний Новгород,Магистр,Senior,E-commerce,C#,C2,9,589.5
50,Full Stack Developer,23,1.4,Уфа,Бакалавр,Junior,Финтех,C++,A2,4,164.2
51,Product Manager,25,2.0,Нижний Новгород,Бакалавр,Junior,Финтех,Java,C1,5,263.9
52,Machine Learning Engineer,35,14.7,Нижний Новгород,Магистр,Lead,IT,Ruby,A1,15,600.0
53,Data Scientist,46,19.8,Ростов-на-Дону,PhD,Architect,E-commerce,Python,A2,15,600.0
54,Cloud Architect,29,5.8,Казань,PhD,Middle,Ритейл,Java,A1,5,442.6
55,Security Engineer,25,5.4,Самара,Магистр,Middle,Финтех,PHP,A2,5,423.9
56,Backend Developer,44,15.6,Краснодар,Магистр,Lead,Образование,Swift,A1,14,600.0
57,Frontend Developer,38,13.0,Екатеринбург,Магистр,Lead,Ритейл,Java,A2,12,600.0
58,Backend Developer,32,9.3,Уфа,Магистр,Senior,IT,C++,A2,11,526.6
59,QA Engineer,36,15.5,Нижний Новгород,Бакалавр,Lead,Промышленность,Swift,B1,14,600.0
60,DevOps Engineer,29,4.0,Новосибирск,Магистр,Middle,Образование,Kotlin,B1,4,303.9
61,Frontend Developer,29,7.2,Санкт-Петербург,Магистр,Middle,IT,Kotlin,C2,8,312.4
62,Security Engineer,28,6.9,Екатеринбург,Среднее,Middle,IT,Python,A2,7,301.1
63,Data Analyst,38,15.1,Уфа,Бакалавр,Lead,Финтех,Ruby,C2,15,600.0
64,System Administrator,26,1.7,Новосибирск,Бакалавр,Junior,Ритейл,Go,B1,2,143.6
65,Full Stack Developer,29,7.9,Самара,PhD,Middle,E-commerce,Swift,B2,9,358.4
66,Software Engineer,34,10.2,Ростов-на-Дону,Магистр,Senior,Образование,Java,A2,11,502.6
67,Backend Developer,39,18.0,Нижний Новгород,Бакалавр,Architect,Образование,Python,C1,14,600.0
68,Backend Developer,34,7.6,Екатеринбург,PhD,Middle,Промышленность,Java,C1,8,365.9
69,Cloud Architect,45,18.0,Воронеж,Бакалавр,Architect,Промышленность,Swift,A2,16,600.0
70,QA Engineer,27,6.0,Пермь,Бакалавр,Middle,IT,C++,A1,4,230.2
71,QA Engineer,40,15.5,Уфа,Магистр,Lead,Образование,Go,A2,12,600.0
72,Full Stack Developer,37,11.2,Воронеж,Бакалавр,Senior,Промышленность,Python,A1,8,519.7
73,Backend Developer,33,8.5,Ростов-на-Дону,Бакалавр,Senior,Финтех,PHP,B1,10,432.3
74,Product Manager,32,7.9,Пермь,Бакалавр,Middle,E-commerce,C#,C2,6,351.5
75,Frontend Developer,28,4.1,Новосибирск,PhD,Middle,Госсектор,JavaScript,C2,3,272.1
76,Python Developer,35,15.1,Краснодар,Бакалавр,Lead,E-commerce,C#,B1,13,600.0
77,Backend Developer,40,18.8,Нижний Новгород,Бакалавр,Architect,Ритейл,C++,C1,17,600.0
78,Python Developer,37,14.3,Нижний Новгород,Магистр,Lead,Госсектор,Kotlin,A1,15,600.0
79,System Administrator,29,2.7,Новосибирск,Бакалавр,Junior,E-commerce,JavaScript,B1,5,119.7
80,DevOps Engineer,32,11.1,Уфа,Бакалавр,Senior,Финтех,Kotlin,C1,9,475.5
81,Software Engineer,30,5.5,Уфа,PhD,Middle,IT,PHP,C1,8,358.2
82,Product Manager,29,7.8,Уфа,PhD,Middle,Образование,Go,B1,6,462.2
83,Cloud Architect,27,1.6,Воронеж,Бакалавр,Junior,Госсектор,Swift,A2,4,179.3
84,Data Scientist,36,9.6,Краснодар,Бакалавр,Senior,Медицина,Go,A1,9,548.4
85,Backend Developer,26,1.2,Краснодар,Бакалавр,Junior,IT,C#,A1,1,124.2
86,DevOps Engineer,36,9.5,Воронеж,Магистр,Senior,Промышленность,Ruby,B1,7,548.8
87,Machine Learning Engineer,37,7.3,Санкт-Петербург,Магистр,Middle,Госсектор,Java,A2,5,377.1
88,Product Manager,38,9.9,Новосибирск,Бакалавр,Senior,Финтех,Kotlin,A2,9,526.7
89,Product Manager,40,16.1,Ростов-на-Дону,Бакалавр,Architect,Образование,PHP,C2,14,600.0
90,Machine Learning Engineer,48,17.8,Казань,Магистр,Architect,Госсектор,C++,B2,16,600.0
91,Frontend Developer,30,8.4,Новосибирск,Магистр,Senior,Медицина,Java,C1,10,468.2
92,System Administrator,28,8.7,Казань,Магистр,Senior,Госсектор,C++,C1,9,436.0
93,Security Engineer,29,7.6,Уфа,Магистр,Middle,Телеком,Kotlin,C2,6,373.8
94,Python Developer,39,10.0,Воронеж,Бакалавр,Senior,Медицина,Go,C2,7,506.9
95,QA Engineer,33,10.8,Ростов-на-Дону,PhD,Senior,Госсектор,Kotlin,B2,12,473.9
96,Data Scientist,38,11.3,Воронеж,Среднее,Senior,Промышленность,Swift,C2,13,483.8
97,Data Scientist,33,12.2,Санкт-Петербург,Бакалавр,Lead,Госсектор,Kotlin,C2,12,600.0
98,Project Manager,27,4.1,Воронеж,PhD,Middle,Телеком,C++,A1,5,352.9
99,Data Analyst,42,11.5,Екатеринбург,Магистр,Senior,E-commerce,Kotlin,B2,9,472.2
100,Machine Learning Engineer,43,16.9,Волгоград,Бакалавр,Architect,Промышленность,Python,A1,13,600.0
101,QA Engineer,36,9.5,Пермь,Бакалавр,Senior,Промышленность,Swift,A1,8,470.2
102,Machine Learning Engineer,41,14.8,Воронеж,MBA,Lead,Ритейл,Swift,B2,12,600.0
103,System Administrator,38,13.6,Краснодар,Бакалавр,Lead,Образование,Go,A2,14,600.0
104,Full Stack Developer,29,6.3,Уфа,Бакалавр,Middle,E-commerce,Kotlin,A1,7,300.2
105,Product Manager,26,2.9,Екатеринбург,Магистр,Junior,Госсектор,Ruby,A1,5,197.4
106,Software Engineer,31,14.9,Воронеж,Среднее,Lead,Телеком,JavaScript,C2,12,600.0
107,System Administrator,33,10.8,Ростов-на-Дону,Магистр,Senior,Телеком,Swift,A2,11,519.4
108,DevOps Engineer,38,14.9,Казань,Бакалавр,Lead,Ритейл,Swift,A1,15,600.0
109,Cloud Architect,28,8.0,Уфа,Магистр,Middle,Финтех,Go,C2,8,491.2
110,Software Engineer,39,15.0,Санкт-Петербург,Магистр,Lead,Ритейл,Kotlin,B1,15,600.0
111,QA Engineer,25,1.2,Волгоград,Магистр,Junior,E-commerce,Kotlin,A1,3,142.9
112,Data Scientist,40,10.1,Ростов-на-Дону,Магистр,Senior,Промышленность,JavaScript,B1,12,570.0
113,Machine Learning Engineer,27,5.8,Воронеж,Среднее,Middle,Финтех,C#,B1,4,288.5
114,Data Analyst,28,5.4,Москва,Бакалавр,Middle,Финтех,C#,C1,7,208.2
115,Data Analyst,45,17.7,Уфа,Магистр,Architect,E-commerce,Python,C2,16,600.0
116,Data Analyst,27,5.3,Воронеж,Бакалавр,Middle,Госсектор,Kotlin,B2,8,213.8
117,Product Manager,25,3.6,Волгоград,PhD,Junior,IT,Ruby,A2,6,249.5
118,Software Engineer,39,12.8,Ростов-на-Дону,Магистр,Lead,Финтех,Ruby,A2,12,600.0
119,Cloud Architect,33,8.1,Воронеж,Бакалавр,Senior,IT,JavaScript,B2,9,531.1
120,Product Manager,18,1.8,Новосибирск,Среднее,Junior,Медицина,C++,B1,2,174.7
121,System Administrator,34,8.0,Екатеринбург,Среднее,Middle,IT,JavaScript,C1,7,229.7
122,Machine Learning Engineer,34,9.3,Воронеж,Бакалавр,Senior,E-commerce,C++,C2,8,507.7
123,Python Developer,39,19.3,Ростов-на-Дону,Магистр,Architect,Промышленность,Java,A1,16,600.0
124,Product Manager,43,11.5,Санкт-Петербург,PhD,Senior,Медицина,PHP,B1,13,600.0
125,Full Stack Developer,37,12.7,Ростов-на-Дону,Бакалавр,Lead,Госсектор,C++,B2,13,600.0
126,Software Engineer,22,3.6,Санкт-Петербург,Бакалавр,Junior,Финтех,Python,C1,6,188.6
127,Security Engineer,48,19.5,Нижний Новгород,MBA,Architect,E-commerce,PHP,B1,15,600.0
128,Data Analyst,26,3.3,Пермь,Бакалавр,Junior,IT,Kotlin,A2,2,105.2
129,Data Scientist,33,10.9,Санкт-Петербург,MBA,Senior,Телеком,Kotlin,A2,9,600.0
130,Product Manager,29,2.5,Уфа,PhD,Junior,Промышленность,JavaScript,B2,2,240.7
131,Data Scientist,38,12.7,Нижний Новгород,PhD,Lead,E-commerce,Go,A2,13,600.0
132,Cloud Architect,33,10.8,Новосибирск,Бакалавр,Senior,E-commerce,Swift,C1,12,591.4
133,Full Stack Developer,35,9.7,Санкт-Петербург,Среднее,Senior,E-commerce,JavaScript,C2,10,427.1
134,Backend Developer,28,7.0,Краснодар,Бакалавр,Middle,IT,Go,A1,9,376.7
135,Security Engineer,48,19.2,Москва,Магистр,Architect,E-commerce,PHP,A2,18,600.0
136,Software Engineer,32,9.1,Самара,Магистр,Senior,Госсектор,Java,B1,8,600.0
137,System Administrator,31,4.6,Пермь,Бакалавр,Middle,Финтех,Ruby,A2,6,323.5
138,Full Stack Developer,31,8.6,Краснодар,Бакалавр,Senior,Госсектор,C++,A2,6,433.5
139,Python Developer,27,8.1,Самара,Бакалавр,Senior,E-commerce,Ruby,B1,10,453.0
140,Backend Developer,20,3.8,Нижний Новгород,Бакалавр,Junior,Медицина,Python,A1,5,177.4
141,Product Manager,25,1.2,Нижний Новгород,PhD,Junior,Медицина,PHP,B2,3,235.1
142,Data Scientist,44,19.7,Казань,Магистр,Architect,Образование,Go,C1,17,600.0
143,Python Developer,37,10.4,Краснодар,Бакалавр,Senior,Медицина,Go,B2,11,519.9
144,Data Scientist,28,4.4,Воронеж,MBA,Middle,Финтех,Python,A2,4,401.2
145,Data Scientist,37,12.5,Новосибирск,PhD,Lead,Образование,Python,A1,13,600.0
146,Frontend Developer,33,11.8,Волгоград,PhD,Senior,Ритейл,Swift,C1,9,572.8
147,Project Manager,38,17.6,Волгоград,PhD,Architect,IT,Swift,B1,15,600.0
148,Data Analyst,25,6.3,Волгоград,Бакалавр,Middle,Ритейл,Java,B2,9,322.9
149,Python Developer,24,5.1,Ростов-на-Дону,Магистр,Middle,E-commerce,JavaScript,C2,5,293.3
150,Frontend Developer,35,17.3,Казань,Бакалавр,Architect,Медицина,C#,A2,16,600.0
151,Cloud Architect,36,8.2,Краснодар,Магистр,Senior,Образование,Ruby,B1,10,600.0
152,Product Manager,41,19.1,Волгоград,Бакалавр,Architect,Медицина,JavaScript,C2,17,600.0
153,Frontend Developer,32,6.1,Москва,Бакалавр,Middle,Медицина,JavaScript,A2,7,247.5
154,QA Engineer,27,2.9,Самара,Магистр,Junior,Промышленность,Kotlin,C1,2,113.0
155,DevOps Engineer,33,8.8,Ростов-на-Дону,Магистр,Senior,Ритейл,Go,B2,11,540.6
156,Cloud Architect,40,12.4,Санкт-Петербург,Бакалавр,Lead,Промышленность,C#,B2,10,600.0
157,Machine Learning Engineer,45,17.1,Новосибирск,Бакалавр,Architect,Финтех,C#,A1,14,600.0
158,Python Developer,31,4.7,Ростов-на-Дону,Бакалавр,Middle,Финтех,Swift,C2,7,293.4
159,Machine Learning Engineer,34,12.1,Новосибирск,Магистр,Lead,Медицина,Ruby,B2,11,600.0
160,QA Engineer,30,7.1,Уфа,Магистр,Middle,IT,Java,A1,8,271.0
161,Project Manager,27,7.2,Уфа,Магистр,Middle,Финтех,C#,C2,8,465.6
162,Machine Learning Engineer,31,10.9,Новосибирск,MBA,Senior,Финтех,Go,A1,9,600.0
163,Full Stack Developer,33,9.6,Ростов-на-Дону,Бакалавр,Senior,Телеком,Ruby,A2,7,451.0
164,Product Manager,34,7.3,Москва,Бакалавр,Middle,Ритейл,C++,B2,9,349.7
165,Security Engineer,32,10.7,Санкт-Петербург,Магистр,Senior,Медицина,Go,B2,11,600.0
166,Python Developer,24,4.9,Краснодар,Бакалавр,Middle,Медицина,Java,B2,3,232.5
167,Data Scientist,34,10.6,Нижний Новгород,PhD,Senior,Финтех,Python,A2,9,600.0
168,System Administrator,33,7.9,Санкт-Петербург,Бакалавр,Middle,E-commerce,JavaScript,B1,8,276.7
169,Data Scientist,47,19.2,Москва,Бакалавр,Architect,Госсектор,C++,C2,15,600.0
170,Security Engineer,19,3.9,Ростов-на-Дону,Бакалавр,Junior,Медицина,JavaScript,B2,7,173.6
171,System Administrator,35,11.2,Воронеж,Бакалавр,Senior,Финтех,Go,C1,11,486.7
172,Product Manager,34,7.6,Уфа,Бакалавр,Middle,Ритейл,JavaScript,C1,8,301.0
173,Full Stack Developer,26,5.2,Екатеринбург,Магистр,Middle,Медицина,C#,B2,4,308.9
174,DevOps Engineer,31,10.8,Краснодар,Бакалавр,Senior,Образование,Go,C2,10,540.9
175,System Administrator,40,15.5,Уфа,Среднее,Lead,Телеком,Kotlin,A2,16,600.0
176,Frontend Developer,27,4.7,Самара,Магистр,Middle,Медицина,C++,C1,7,292.9
177,Data Scientist,29,6.8,Волгоград,Бакалавр,Middle,IT,C#,A2,6,350.7
178,Software Engineer,26,2.5,Самара,Среднее,Junior,Промышленность,Kotlin,A2,1,131.5
179,Frontend Developer,34,16.6,Новосибирск,Бакалавр,Architect,Образование,Ruby,C1,13,600.0
180,Product Manager,33,10.5,Уфа,Магистр,Senior,IT,Java,B1,12,600.0
181,Frontend Developer,32,10.4,Пермь,MBA,Senior,E-commerce,Ruby,B1,10,531.4
182,Project Manager,36,8.5,Ростов-на-Дону,Среднее,Senior,Финтех,Python,A1,9,481.4
183,Cloud Architect,28,4.5,Екатеринбург,MBA,Middle,Промышленность,Kotlin,C1,4,421.6
184,Data Scientist,41,12.2,Краснодар,Бакалавр,Lead,Ритейл,PHP,A2,9,600.0
185,Software Engineer,24,7.8,Новосибирск,Бакалавр,Middle,IT,C#,B2,9,307.2
186,Data Analyst,42,19.9,Казань,Бакалавр,Architect,Промышленность,C#,C1,16,600.0
187,Security Engineer,41,14.7,Волгоград,Магистр,Lead,Финтех,Go,B2,11,600.0
188,Data Scientist,28,3.1,Казань,PhD,Junior,IT,Go,B1,6,247.3
189,Data Analyst,37,12.4,Пермь,Бакалавр,Lead,Образование,Kotlin,A1,10,562.7
190,Machine Learning Engineer,45,19.8,Краснодар,Бакалавр,Architect,Финтех,C#,C2,16,600.0
191,Software Engineer,36,7.8,Ростов-на-Дону,PhD,Middle,Финтех,Python,C2,9,447.9
192,Frontend Developer,28,7.7,Волгоград,PhD,Middle,Медицина,Kotlin,B2,10,338.7
193,DevOps Engineer,39,15.7,Екатеринбург,Среднее,Lead,Ритейл,Kotlin,C2,16,600.0
194,System Administrator,23,2.3,Екатеринбург,Бакалавр,Junior,Промышленность,Ruby,B2,2,177.4
195,Security Engineer,38,10.0,Пермь,Бакалавр,Senior,Госсектор,Go,C1,9,575.0
196,Frontend Developer,32,15.9,Москва,Магистр,Lead,Ритейл,JavaScript,B2,12,600.0
197,Product Manager,30,6.3,Самара,Магистр,Middle,Образование,Ruby,A1,8,354.4
198,Software Engineer,37,11.5,Новосибирск,Магистр,Senior,E-commerce,Java,C1,11,577.6
199,Security Engineer,25,4.9,Самара,Бакалавр,Middle,Медицина,C++,C2,7,242.4
200,Security Engineer,31,14.7,Уфа,Магистр,Lead,Ритейл,Swift,B2,14,600.0
201,DevOps Engineer,25,0.8,Ростов-на-Дону,Бакалавр,Junior,Медицина,Go,B2,0,146.0
202,Data Analyst,26,1.4,Санкт-Петербург,Бакалавр,Junior,Промышленность,Ruby,C2,3,150.5
203,Project Manager,47,19.3,Казань,Бакалавр,Architect,Финтех,C#,A2,15,600.0
204,Frontend Developer,38,13.3,Ростов-на-Дону,MBA,Lead,IT,Swift,C1,13,600.0
205,Data Scientist,36,14.5,Самара,Магистр,Lead,Ритейл,JavaScript,B2,15,600.0
206,Full Stack Developer,36,14.3,Нижний Новгород,Бакалавр,Lead,Ритейл,C#,A2,15,600.0
207,Data Scientist,24,2.4,Новосибирск,Бакалавр,Junior,IT,Kotlin,B1,4,189.2
208,Full Stack Developer,47,17.5,Пермь,Среднее,Architect,Ритейл,Go,B2,18,600.0
209,Data Analyst,45,19.7,Краснодар,Магистр,Architect,Медицина,Java,C2,18,600.0
210,Full Stack Developer,45,16.5,Пермь,Бакалавр,Architect,Ритейл,PHP,B2,14,600.0
211,DevOps Engineer,32,5.9,Санкт-Петербург,Бакалавр,Middle,Телеком,Go,B2,7,339.2
212,Machine Learning Engineer,38,7.6,Нижний Новгород,PhD,Middle,Госсектор,C#,B2,9,429.8
213,Machine Learning Engineer,43,17.7,Волгоград,Бакалавр,Architect,Финтех,C#,C2,18,600.0
214,DevOps Engineer,47,19.9,Казань,Среднее,Architect,E-commerce,JavaScript,A2,18,600.0
215,System Administrator,31,7.1,Пермь,Магистр,Middle,Ритейл,JavaScript,B2,5,288.7
216,Frontend Developer,28,5.5,Новосибирск,Бакалавр,Middle,Медицина,Python,C1,5,280.7
217,Data Scientist,35,7.3,Воронеж,Магистр,Middle,E-commerce,C#,B2,5,363.4
218,Python Developer,22,3.0,Москва,Среднее,Junior,Промышленность,C++,B2,2,159.4
219,Full Stack Developer,33,5.9,Казань,Бакалавр,Middle,Образование,Java,A1,8,302.8
220,Security Engineer,39,15.3,Нижний Новгород,Среднее,Lead,Телеком,Java,A1,13,600.0
221,Project Manager,20,2.7,Воронеж,Магистр,Junior,Медицина,Java,C2,4,148.4
222,Python Developer,24,1.3,Самара,PhD,Junior,E-commerce,Java,B1,3,177.9
223,Software Engineer,42,16.9,Уфа,Магистр,Architect,Госсектор,Java,B2,13,600.0
224,Frontend Developer,34,11.0,Ростов-на-Дону,Бакалавр,Senior,Ритейл,C#,B1,8,583.0
225,DevOps Engineer,20,1.8,Санкт-Петербург,Магистр,Junior,Образование,Java,B1,1,149.7
226,Cloud Architect,35,13.3,Новосибирск,Магистр,Lead,IT,Swift,B2,10,600.0
227,Data Scientist,45,17.6,Екатеринбург,PhD,Architect,Госсектор,Java,A2,14,600.0
228,Data Analyst,49,19.0,Пермь,Магистр,Architect,E-commerce,C++,C2,18,600.0
229,Backend Developer,28,5.6,Волгоград,Бакалавр,Middle,Госсектор,JavaScript,A1,4,236.0
230,QA Engineer,43,18.2,Новосибирск,Бакалавр,Architect,Медицина,PHP,C2,16,600.0
231,Data Analyst,39,12.0,Москва,Бакалавр,Lead,Телеком,C++,B2,11,600.0
232,Frontend Developer,31,9.1,Москва,Бакалавр,Senior,Промышленность,Python,A1,11,437.0
233,Frontend Developer,33,7.2,Новосибирск,Среднее,Middle,Промышленность,Python,B2,7,270.7
234,Data Analyst,40,13.6,Уфа,PhD,Lead,Ритейл,Kotlin,C1,13,600.0
235,Project Manager,25,0.5,Екатеринбург,Магистр,Junior,IT,JavaScript,A2,1,240.6
236,Cloud Architect,38,13.4,Ростов-на-Дону,PhD,Lead,Телеком,Kotlin,B1,13,600.0
237,Data Scientist,34,13.5,Ростов-на-Дону,Среднее,Lead,Ритейл,Java,C2,11,600.0
238,Full Stack Developer,41,17.5,Пермь,Среднее,Architect,E-commerce,Python,A1,15,600.0
239,Project Manager,32,10.0,Нижний Новгород,Бакалавр,Senior,Образование,Ruby,A1,7,507.5
240,Backend Developer,40,17.1,Новосибирск,PhD,Architect,Ритейл,JavaScript,B1,16,600.0
241,Cloud Architect,24,2.4,Казань,Магистр,Junior,Телеком,PHP,B2,2,225.0
242,DevOps Engineer,24,1.4,Нижний Новгород,Среднее,Junior,Образование,Python,A1,3,105.8
243,Data Analyst,36,7.6,Волгоград,Бакалавр,Middle,Медицина,Java,B1,8,272.8
244,QA Engineer,23,1.3,Самара,Среднее,Junior,Образование,C#,C2,3,86.0
245,QA Engineer,25,2.8,Волгоград,Магистр,Junior,Медицина,Swift,A1,5,136.1
246,Python Developer,33,8.0,Воронеж,Магистр,Senior,Телеком,Go,C1,7,500.7
247,Machine Learning Engineer,32,7.4,Воронеж,Магистр,Middle,Телеком,C#,B2,8,407.3
248,DevOps Engineer,27,7.3,Волгоград,Магистр,Middle,IT,C++,B1,7,356.0
249,Machine Learning Engineer,46,17.7,Казань,Бакалавр,Architect,IT,PHP,B2,18,600.0
