ID,Должность,Возраст,Опыт_лет,Город,Образование,Уровень,Отрасль,Язык_программирования,Уровень_английского,Количество_проектов,Зарплата_тыс
250,Frontend Developer,36,11.1,Казань,Среднее,Senior,IT,Ruby,B2,10,418.4
251,Data Analyst,28,5.9,Воронеж,Магистр,Middle,IT,C++,C2,5,236.2
252,Security Engineer,41,15.4,Воронеж,Магистр,Lead,Финтех,C#,C2,14,600.0
253,Product Manager,43,16.6,Волгоград,Бакалавр,Architect,IT,PHP,B2,13,600.0
254,Python Developer,42,17.0,Нижний Новгород,PhD,Architect,E-commerce,Go,C1,14,600.0
255,Backend Developer,39,10.8,Ростов-на-Дону,Бакалавр,Senior,E-commerce,PHP,C2,10,569.6
256,Machine Learning Engineer,30,4.4,Екатеринбург,Магистр,Middle,E-commerce,Swift,A1,7,322.4
257,Data Scientist,29,2.5,Волгоград,Бакалавр,Junior,E-commerce,JavaScript,C1,4,153.8
258,Project Manager,40,17.4,Самара,Бакалавр,Architect,Промышленность,JavaScript,A2,16,600.0
259,Cloud Architect,26,4.6,Краснодар,Бакалавр,Middle,Образование,Go,C1,5,394.2
260,Full Stack Developer,28,4.9,Москва,Бакалавр,Middle,Телеком,Swift,C2,3,271.4
261,Full Stack Developer,46,17.4,Екатеринбург,Магистр,Architect,Образование,JavaScript,B2,14,600.0
262,Data Analyst,26,6.2,Санкт-Петербург,Магистр,Middle,Финтех,Ruby,C2,7,266.6
263,Data Analyst,35,12.8,Нижний Новгород,PhD,Lead,Образование,PHP,A1,11,600.0
264,Product Manager,37,14.9,Екатеринбург,Бакалавр,Lead,Медицина,JavaScript,B2,11,600.0
265,Data Scientist,46,17.9,Волгоград,Магистр,Architect,IT,Kotlin,A2,14,600.0
266,Product Manager,38,12.8,Ростов-на-Дону,MBA,Lead,Ритейл,Python,B2,13,600.0
267,Frontend Developer,33,9.8,Новосибирск,PhD,Senior,Ритейл,JavaScript,C2,9,522.2
268,Product Manager,43,17.2,Нижний Новгород,Бакалавр,Architect,Промышленность,Go,B1,13,600.0
269,Backend Developer,30,4.7,Пермь,Бакалавр,Middle,Госсектор,JavaScript,B1,6,292.8
270,Product Manager,22,1.5,Ростов-на-Дону,PhD,Junior,IT,Java,C1,4,316.6
271,Backend Developer,38,15.7,Екатеринбург,Бакалавр,Lead,E-commerce,Go,A1,13,600.0
272,Software Engineer,41,14.9,Пермь,Магистр,Lead,Госсектор,C++,A2,11,600.0
273,Python Developer,32,6.6,Самара,MBA,Middle,Ритейл,Go,C1,7,417.2
274,Data Scientist,21,4.0,Пермь,Магистр,Middle,Образование,Swift,C2,6,313.6
275,DevOps Engineer,36,11.2,Нижний Новгород,Магистр,Senior,Медицина,PHP,C1,8,592.9
276,Data Analyst,21,1.8,Самара,Магистр,Junior,Промышленность,Kotlin,B2,4,113.4
277,Software Engineer,34,5.2,Краснодар,Магистр,Middle,Ритейл,Kotlin,B2,4,305.2
278,QA Engineer,39,17.0,Екатеринбург,Магистр,Architect,Госсектор,Python,A1,16,600.0
279,Data Analyst,37,14.6,Ростов-на-Дону,Бакалавр,Lead,Промышленность,C++,B2,15,600.0
280,Backend Developer,35,8.6,Нижний Новгород,Магистр,Senior,Финтех,Go,C2,10,537.8
281,Security Engineer,33,11.2,Воронеж,Бакалавр,Senior,Финтех,Python,A1,12,562.8
282,Project Manager,29,8.1,Ростов-на-Дону,Бакалавр,Senior,Образование,Kotlin,C2,8,482.3
283,Software Engineer,42,18.4,Воронеж,Среднее,Architect,Финтех,Java,C1,17,600.0
284,Python Developer,46,19.2,Краснодар,Бакалавр,Architect,IT,Python,B1,18,600.0
285,Project Manager,46,19.2,Пермь,PhD,Architect,Образование,C#,B2,18,600.0
286,Data Analyst,41,16.3,Волгоград,Бакалавр,Architect,Медицина,Java,B2,13,600.0
287,Software Engineer,36,3.5,Новосибирск,Магистр,Junior,E-commerce,C#,C2,5,142.7
288,Python Developer,35,9.2,Москва,Бакалавр,Senior,Финтех,JavaScript,B2,11,417.8
289,Python Developer,22,4.2,Уфа,Среднее,Middle,Ритейл,Go,A2,3,253.5
290,System Administrator,34,8.9,Пермь,Бакалавр,Senior,Телеком,Java,C1,9,430.5
291,Cloud Architect,42,18.1,Волгоград,Бакалавр,Architect,Промышленность,C++,C1,15,600.0
292,Software Engineer,28,6.3,Новосибирск,Среднее,Middle,Промышленность,C#,A1,7,244.9
293,Project Manager,45,16.8,Москва,Магистр,Architect,Телеком,JavaScript,A1,15,600.0
294,Frontend Developer,27,6.0,Казань,Среднее,Middle,Ритейл,Go,C2,4,255.1
295,QA Engineer,30,4.4,Казань,MBA,Middle,Телеком,C++,A1,5,258.6
296,QA Engineer,33,6.4,Краснодар,Бакалавр,Middle,Промышленность,Go,B2,7,226.5
297,Backend Developer,37,8.2,Ростов-на-Дону,Магистр,Senior,IT,JavaScript,C2,7,514.6
298,Project Manager,30,12.8,Москва,Бакалавр,Lead,Ритейл,Go,A1,14,600.0
299,Machine Learning Engineer,34,7.7,Ростов-на-Дону,PhD,Middle,IT,Ruby,C1,7,447.7
300,Data Scientist,39,16.2,Пермь,MBA,Architect,Телеком,Python,A1,14,600.0
301,Python Developer,33,6.6,Уфа,Среднее,Middle,IT,C++,B1,7,223.9
302,Security Engineer,42,16.9,Казань,Магистр,Architect,IT,Python,B1,13,600.0
303,Frontend Developer,38,14.5,Екатеринбург,Бакалавр,Lead,Медицина,Kotlin,A1,13,600.0
304,Product Manager,30,6.2,Новосибирск,Бакалавр,Middle,Финтех,JavaScript,B1,6,341.1
305,DevOps Engineer,38,13.6,Москва,Бакалавр,Lead,Образование,Python,C2,13,600.0
306,Software Engineer,38,17.6,Казань,Бакалавр,Architect,Финтех,Java,C2,14,600.0
307,Security Engineer,31,7.8,Уфа,Магистр,Middle,Медицина,Go,C1,8,413.9
308,System Administrator,30,6.8,Ростов-на-Дону,Бакалавр,Middle,Образование,C#,B2,6,247.3
309,Data Scientist,33,14.2,Новосибирск,Бакалавр,Lead,Финтех,JavaScript,A1,12,600.0
310,Product Manager,33,11.2,Екатеринбург,Бакалавр,Senior,E-commerce,Swift,C2,11,557.3
311,DevOps Engineer,30,2.3,Москва,Бакалавр,Junior,Госсектор,Kotlin,A1,3,171.5
312,Software Engineer,41,10.8,Екатеринбург,PhD,Senior,Финтех,PHP,C2,12,556.2
313,Security Engineer,37,13.8,Самара,Бакалавр,Lead,Медицина,Java,A1,14,600.0
314,Software Engineer,43,16.9,Новосибирск,Бакалавр,Architect,Медицина,Go,A2,15,600.0
315,Project Manager,25,2.1,Уфа,Магистр,Junior,IT,Kotlin,B1,3,195.7
316,Project Manager,39,12.9,Казань,Бакалавр,Lead,Финтех,Python,A1,13,600.0
317,Data Analyst,26,7.4,Санкт-Петербург,Магистр,Middle,Госсектор,Ruby,A2,6,356.0
318,Cloud Architect,42,16.5,Самара,Магистр,Architect,IT,PHP,B1,15,600.0
319,Software Engineer,25,4.5,Уфа,PhD,Middle,Образование,Swift,A2,7,334.8
320,Data Scientist,39,12.8,Санкт-Петербург,Бакалавр,Lead,Финтех,C#,B2,13,600.0
321,Cloud Architect,28,6.2,Пермь,Магистр,Middle,IT,Go,B2,8,451.3
322,Full Stack Developer,39,14.4,Самара,Бакалавр,Lead,Образование,C#,A1,15,600.0
323,Data Scientist,44,17.7,Краснодар,Бакалавр,Architect,Ритейл,PHP,A2,17,600.0
324,Frontend Developer,38,15.0,Самара,Бакалавр,Lead,Телеком,Python,A2,12,600.0
325,Python Developer,28,6.7,Ростов-на-Дону,Магистр,Middle,Госсектор,Ruby,B1,5,346.3
326,Software Engineer,23,3.6,Нижний Новгород,Бакалавр,Junior,Финтех,JavaScript,C1,6,161.1
327,Security Engineer,24,3.6,Воронеж,Бакалавр,Junior,Телеком,Kotlin,B2,2,145.4
328,Full Stack Developer,25,5.3,Москва,Магистр,Middle,E-commerce,Swift,A1,8,291.5
329,Machine Learning Engineer,36,14.1,Волгоград,Бакалавр,Lead,IT,JavaScript,C1,11,600.0
330,Frontend Developer,22,2.8,Новосибирск,Бакалавр,Junior,Телеком,Kotlin,A1,6,131.3
331,QA Engineer,33,10.4,Казань,PhD,Senior,Ритейл,Java,C1,10,600.0
332,Backend Developer,43,14.6,Ростов-на-Дону,PhD,Lead,Телеком,Java,C2,13,600.0
333,Security Engineer,33,10.5,Новосибирск,Среднее,Senior,Финтех,PHP,A2,8,476.0
334,Data Analyst,45,17.6,Волгоград,Магистр,Architect,Госсектор,JavaScript,A2,14,600.0
335,Cloud Architect,25,5.0,Самара,Магистр,Middle,Финтех,C++,B1,7,393.9
336,Security Engineer,46,16.9,Самара,Бакалавр,Architect,Образование,C++,A1,13,600.0
337,System Administrator,34,7.3,Ростов-на-Дону,Бакалавр,Middle,Госсектор,Ruby,B2,8,273.5
338,System Administrator,28,3.6,Самара,PhD,Junior,Госсектор,C#,C2,6,139.6
339,Data Analyst,37,12.0,Санкт-Петербург,Магистр,Senior,Финтех,Python,A2,11,510.3
340,Product Manager,34,9.2,Новосибирск,Бакалавр,Senior,IT,Java,C2,7,600.0
341,Security Engineer,30,5.8,Екатеринбург,Магистр,Middle,Телеком,Ruby,C1,5,322.0
342,Full Stack Developer,27,4.2,Нижний Новгород,Бакалавр,Middle,Образование,C#,C2,3,251.8
343,Machine Learning Engineer,44,16.6,Краснодар,PhD,Architect,Промышленность,PHP,C1,15,600.0
344,System Administrator,40,16.6,Воронеж,Среднее,Architect,E-commerce,C++,B2,15,600.0
345,System Administrator,28,9.6,Нижний Новгород,MBA,Senior,Образование,C#,B1,9,542.3
346,Machine Learning Engineer,19,0.8,Волгоград,Среднее,Junior,E-commerce,C#,C1,2,171.4
347,Software Engineer,28,1.9,Краснодар,Бакалавр,Junior,Промышленность,C++,B1,1,153.9
348,Project Manager,45,18.6,Нижний Новгород,MBA,Architect,IT,JavaScript,B2,17,600.0
349,QA Engineer,37,14.4,Казань,Магистр,Lead,Образование,PHP,B1,12,600.0
350,Full Stack Developer,41,14.0,Нижний Новгород,Бакалавр,Lead,Госсектор,Python,B2,14,600.0
351,Data Scientist,37,13.5,Екатеринбург,Магистр,Lead,Госсектор,PHP,C2,12,600.0
352,Machine Learning Engineer,41,13.0,Уфа,Среднее,Lead,Госсектор,PHP,B2,12,600.0
353,DevOps Engineer,20,1.1,Воронеж,Бакалавр,Junior,Промышленность,Ruby,C1,2,144.9
354,Project Manager,42,14.9,Уфа,Среднее,Lead,Образование,Python,A1,12,600.0
355,Security Engineer,23,3.0,Воронеж,Магистр,Junior,Финтех,Java,C2,3,152.1
356,Data Scientist,32,8.6,Новосибирск,PhD,Senior,Образование,C#,B2,9,579.2
357,Security Engineer,25,3.7,Москва,Бакалавр,Junior,Медицина,Kotlin,B2,5,161.5
358,System Administrator,30,6.4,Пермь,Бакалавр,Middle,Образование,Ruby,B1,6,253.4
359,Backend Developer,37,15.7,Ростов-на-Дону,Бакалавр,Lead,Телеком,Python,A2,12,600.0
360,QA Engineer,25,6.0,Москва,Магистр,Middle,Ритейл,Kotlin,C1,4,279.8
361,Data Analyst,31,7.7,Новосибирск,Бакалавр,Middle,Финтех,Ruby,A1,8,218.6
362,Full Stack Developer,40,14.1,Новосибирск,PhD,Lead,Ритейл,C#,C2,11,600.0
363,Product Manager,30,10.0,Уфа,Бакалавр,Senior,Образование,Go,C2,10,596.0
364,Security Engineer,34,17.2,Новосибирск,Магистр,Architect,E-commerce,Go,C2,13,600.0
365,Project Manager,32,7.1,Екатеринбург,Магистр,Middle,Телеком,C#,A2,5,399.8
366,Cloud Architect,30,5.6,Москва,Бакалавр,Middle,Промышленность,Python,C1,4,410.8
367,QA Engineer,30,5.1,Краснодар,Бакалавр,Middle,Финтех,Swift,C1,4,213.0
368,Backend Developer,31,8.9,Уфа,Магистр,Senior,E-commerce,Ruby,A1,11,536.1
369,DevOps Engineer,42,13.6,Ростов-на-Дону,Магистр,Lead,Госсектор,Swift,B2,10,600.0
370,Cloud Architect,26,3.6,Пермь,Магистр,Junior,IT,Swift,B1,2,227.8
371,Project Manager,45,16.1,Уфа,Бакалавр,Architect,Телеком,C#,C1,13,600.0
372,Data Analyst,31,8.1,Казань,Бакалавр,Senior,E-commerce,PHP,A1,8,385.6
373,Data Scientist,37,13.5,Краснодар,Магистр,Lead,Образование,JavaScript,C2,13,600.0
374,Machine Learning Engineer,36,10.4,Екатеринбург,Бакалавр,Senior,Телеком,Python,A1,9,583.6
375,Product Manager,42,19.8,Уфа,Бакалавр,Architect,IT,Kotlin,A2,15,600.0
376,Cloud Architect,45,19.7,Волгоград,Бакалавр,Architect,Ритейл,PHP,C2,18,600.0
377,Cloud Architect,33,10.3,Уфа,Магистр,Senior,Образование,Java,B1,9,600.0
378,Machine Learning Engineer,42,15.3,Краснодар,PhD,Lead,Медицина,C++,B2,13,600.0
379,Full Stack Developer,29,6.3,Екатеринбург,Бакалавр,Middle,Госсектор,C++,A1,5,267.9
380,Frontend Developer,34,14.8,Самара,Бакалавр,Lead,Образование,C#,A1,11,600.0
381,Backend Developer,47,18.1,Уфа,PhD,Architect,Телеком,Java,C2,17,600.0
382,Machine Learning Engineer,34,8.5,Казань,Бакалавр,Senior,Телеком,Kotlin,C1,10,506.9
383,Frontend Developer,25,2.8,Волгоград,Магистр,Junior,Промышленность,Ruby,A2,4,195.3
384,Cloud Architect,34,11.4,Краснодар,MBA,Senior,Медицина,PHP,A2,13,600.0
385,Software Engineer,34,14.0,Казань,Бакалавр,Lead,IT,Go,A2,12,600.0
386,Backend Developer,29,9.8,Москва,Бакалавр,Senior,Госсектор,Python,C2,8,600.0
387,Machine Learning Engineer,31,4.8,Пермь,Бакалавр,Middle,Госсектор,C#,B1,3,300.7
388,Frontend Developer,45,18.7,Екатеринбург,Бакалавр,Architect,IT,JavaScript,A2,16,600.0
389,Software Engineer,38,14.4,Новосибирск,Магистр,Lead,E-commerce,Java,A1,14,600.0
390,DevOps Engineer,38,11.2,Санкт-Петербург,Магистр,Senior,IT,Ruby,B1,8,571.6
391,Machine Learning Engineer,36,7.4,Самара,Магистр,Middle,Финтех,C++,C1,8,372.8
392,Cloud Architect,22,2.4,Волгоград,Среднее,Junior,Ритейл,Java,A2,4,154.6
393,Machine Learning Engineer,24,2.3,Нижний Новгород,Бакалавр,Junior,Промышленность,Ruby,C1,2,174.2
394,QA Engineer,28,5.1,Самара,PhD,Middle,Медицина,Swift,C1,5,254.3
395,Backend Developer,29,6.8,Екатеринбург,Бакалавр,Middle,Госсектор,Go,A1,7,321.5
396,Full Stack Developer,33,5.7,Краснодар,Бакалавр,Middle,E-commerce,Swift,A1,6,385.0
397,System Administrator,29,4.8,Самара,Бакалавр,Middle,Ритейл,Kotlin,C2,3,192.8
398,Security Engineer,34,8.2,Нижний Новгород,Бакалавр,Senior,Телеком,C#,C1,8,498.1
399,Full Stack Developer,25,5.7,Санкт-Петербург,PhD,Middle,E-commerce,Python,B1,6,364.9
400,Frontend Developer,36,14.8,Санкт-Петербург,Бакалавр,Lead,Промышленность,Ruby,C2,14,600.0
401,Full Stack Developer,21,3.1,Москва,Бакалавр,Junior,Промышленность,Python,C1,4,173.4
402,DevOps Engineer,35,16.4,Екатеринбург,Среднее,Architect,Образование,Ruby,C1,14,600.0
403,System Administrator,32,7.0,Волгоград,Магистр,Middle,Медицина,Ruby,B2,9,245.4
404,Software Engineer,25,5.7,Волгоград,PhD,Middle,Госсектор,Java,A2,8,295.2
405,System Administrator,26,7.2,Ростов-на-Дону,Бакалавр,Middle,Медицина,Swift,B2,8,235.0
406,Data Scientist,33,8.2,Самара,Магистр,Senior,Ритейл,JavaScript,C1,10,535.4
407,QA Engineer,38,10.3,Екатеринбург,Магистр,Senior,Финтех,JavaScript,B1,12,428.7
408,Data Scientist,33,6.9,Екатеринбург,Бакалавр,Middle,Телеком,Ruby,C1,5,321.9
409,QA Engineer,34,10.7,Краснодар,Бакалавр,Senior,Финтех,C#,A2,11,357.7
410,QA Engineer,41,17.4,Пермь,Магистр,Architect,Госсектор,Python,A2,14,600.0
411,Security Engineer,33,7.9,Казань,Магистр,Middle,Госсектор,Go,A2,6,525.4
412,System Administrator,34,12.3,Самара,PhD,Lead,Ритейл,Kotlin,A1,9,600.0
413,Data Scientist,46,16.9,Санкт-Петербург,Магистр,Architect,Образование,JavaScript,A1,15,600.0
414,Product Manager,26,3.7,Нижний Новгород,Бакалавр,Junior,Промышленность,Kotlin,B2,3,210.1
415,Backend Developer,40,14.4,Санкт-Петербург,Магистр,Lead,Госсектор,C++,B2,11,600.0
416,Machine Learning Engineer,27,5.4,Нижний Новгород,Бакалавр,Middle,IT,Ruby,C2,6,319.9
417,System Administrator,41,16.8,Новосибирск,PhD,Architect,IT,Python,C1,15,600.0
418,Product Manager,28,5.5,Волгоград,MBA,Middle,Госсектор,C#,A1,6,406.3
419,Cloud Architect,39,11.2,Краснодар,Бакалавр,Senior,Телеком,C++,B2,8,562.6
420,Cloud Architect,43,19.5,Москва,Магистр,Architect,IT,Kotlin,C1,15,600.0
421,Data Scientist,34,13.6,Пермь,Магистр,Lead,Медицина,C#,B1,12,600.0
422,System Administrator,27,5.5,Пермь,Среднее,Middle,Медицина,Swift,C2,6,240.5
423,Cloud Architect,35,12.5,Волгоград,MBA,Lead,Ритейл,Kotlin,B1,12,600.0
424,DevOps Engineer,35,13.2,Воронеж,Бакалавр,Lead,E-commerce,Go,A2,12,600.0
425,Backend Developer,31,5.4,Уфа,MBA,Middle,Телеком,C++,C2,6,423.2
426,Project Manager,41,18.2,Волгоград,Магистр,Architect,Ритейл,PHP,A1,18,600.0
427,System Administrator,42,14.2,Краснодар,Магистр,Lead,Телеком,Go,A1,12,600.0
428,Data Scientist,36,11.9,Пермь,Бакалавр,Senior,IT,Java,C2,12,543.3
429,Machine Learning Engineer,29,9.3,Екатеринбург,Бакалавр,Senior,Госсектор,C#,C2,8,484.1
430,Full Stack Developer,30,8.6,Санкт-Петербург,Бакалавр,Senior,Госсектор,Swift,C1,7,591.7
431,Project Manager,29,7.1,Екатеринбург,Магистр,Middle,IT,Go,A2,7,384.8
432,Full Stack Developer,37,12.1,Воронеж,PhD,Lead,Ритейл,C++,B1,10,600.0
433,Data Scientist,27,3.9,Самара,Бакалавр,Junior,Телеком,Python,C2,7,215.1
434,Software Engineer,41,16.7,Краснодар,PhD,Architect,IT,Kotlin,C1,14,600.0
435,Cloud Architect,44,17.6,Нижний Новгород,PhD,Architect,Телеком,C#,B2,15,600.0
436,Software Engineer,37,17.5,Новосибирск,Среднее,Architect,Телеком,Go,A2,17,600.0
437,Project Manager,34,9.5,Санкт-Петербург,Бакалавр,Senior,Медицина,C++,B1,9,501.8
438,Python Developer,34,10.3,Пермь,Среднее,Senior,E-commerce,Ruby,B2,10,433.3
439,Full Stack Developer,35,9.8,Воронеж,Бакалавр,Senior,E-commerce,Ruby,C1,8,480.0
440,Machine Learning Engineer,41,15.0,Екатеринбург,Магистр,Lead,Медицина,Java,A2,13,600.0
441,Machine Learning Engineer,24,1.7,Краснодар,PhD,Junior,Телеком,C#,A1,4,200.3
442,Backend Developer,42,16.5,Пермь,Бакалавр,Architect,Ритейл,Swift,A2,13,600.0
443,Python Developer,43,16.0,Волгоград,Среднее,Architect,Финтех,Swift,A2,16,600.0
444,Project Manager,26,0.6,Ростов-на-Дону,Бакалавр,Junior,Финтех,Python,B2,3,197.2
445,Machine Learning Engineer,46,19.4,Санкт-Петербург,Бакалавр,Architect,Финтех,C++,C2,15,600.0
446,Data Scientist,35,12.0,Новосибирск,Бакалавр,Senior,E-commerce,Ruby,B1,9,522.5
447,Full Stack Developer,28,5.2,Краснодар,Бакалавр,Middle,Промышленность,Ruby,C2,6,275.2
448,Backend Developer,25,4.3,Москва,Бакалавр,Middle,Образование,C++,C1,6,272.7
449,QA Engineer,41,17.9,Пермь,Магистр,Architect,E-commerce,Go,C2,17,600.0
450,Product Manager,40,19.9,Воронеж,Бакалавр,Architect,Телеком,Ruby,B1,17,600.0
451,Security Engineer,40,18.8,Уфа,Бакалавр,Architect,E-commerce,JavaScript,B1,17,600.0
452,QA Engineer,33,9.7,Уфа,Магистр,Senior,IT,C#,A2,7,429.2
453,Full Stack Developer,27,6.7,Нижний Новгород,Бакалавр,Middle,Госсектор,Swift,C1,7,345.9
454,System Administrator,28,6.7,Новосибирск,Магистр,Middle,IT,PHP,C1,8,334.5
455,DevOps Engineer,25,5.9,Ростов-на-Дону,Бакалавр,Middle,Госсектор,Java,B1,8,289.5
456,Machine Learning Engineer,25,5.5,Волгоград,Бакалавр,Middle,Госсектор,Swift,C1,5,307.7
457,Frontend Developer,30,8.8,Пермь,Магистр,Senior,Промышленность,C++,A2,7,484.6
458,DevOps Engineer,26,7.5,Новосибирск,Бакалавр,Middle,Ритейл,C++,A1,7,337.9
459,DevOps Engineer,42,14.3,Ростов-на-Дону,PhD,Lead,Промышленность,Kotlin,C1,12,600.0
460,Machine Learning Engineer,24,1.5,Екатеринбург,Бакалавр,Junior,Промышленность,Kotlin,C1,5,165.7
461,System Administrator,40,13.7,Краснодар,Бакалавр,Lead,E-commerce,Ruby,C1,13,600.0
462,Frontend Developer,37,15.4,Новосибирск,Магистр,Lead,E-commerce,Kotlin,C2,15,600.0
463,Data Scientist,30,4.5,Пермь,Среднее,Middle,Телеком,C++,A1,3,233.2
464,Machine Learning Engineer,37,17.0,Самара,Бакалавр,Architect,IT,C++,B1,14,600.0
465,Cloud Architect,45,18.6,Волгоград,PhD,Architect,Ритейл,Ruby,C2,15,600.0
466,Full Stack Developer,34,10.3,Новосибирск,Среднее,Senior,Образование,Go,C1,10,585.8
467,Backend Developer,40,13.4,Уфа,PhD,Lead,Промышленность,Python,C1,10,600.0
468,Backend Developer,28,5.4,Краснодар,Магистр,Middle,Ритейл,Go,B2,6,341.4
469,Project Manager,38,16.8,Новосибирск,Магистр,Architect,Медицина,Java,C1,13,600.0
470,Cloud Architect,26,2.6,Краснодар,Бакалавр,Junior,Финтех,PHP,B2,2,216.6
471,Data Scientist,28,6.5,Уфа,Магистр,Middle,Промышленность,Swift,A2,7,409.1
472,System Administrator,25,3.2,Санкт-Петербург,Среднее,Junior,Финтех,Swift,C1,5,149.8
473,Backend Developer,31,9.5,Волгоград,Бакалавр,Senior,Медицина,Swift,C2,11,449.7
474,Frontend Developer,33,8.5,Краснодар,Бакалавр,Senior,Финтех,C++,C1,7,430.6
475,Security Engineer,36,12.1,Ростов-на-Дону,Среднее,Lead,Финтех,C#,A2,9,600.0
476,Software Engineer,30,11.3,Краснодар,Магистр,Senior,IT,Python,A2,11,596.0
477,Cloud Architect,32,8.9,Краснодар,Бакалавр,Senior,Медицина,Kotlin,A1,7,536.4
478,Product Manager,49,19.9,Санкт-Петербург,Бакалавр,Architect,Телеком,Kotlin,A1,19,600.0
479,Backend Developer,22,0.7,Нижний Новгород,Бакалавр,Junior,IT,Ruby,C2,1,164.9
480,DevOps Engineer,42,19.8,Уфа,MBA,Architect,Госсектор,Go,B2,17,600.0
481,Data Analyst,27,6.5,Новосибирск,Бакалавр,Middle,Госсектор,Ruby,B2,5,217.6
482,Project Manager,37,18.2,Москва,MBA,Architect,Госсектор,Ruby,A2,15,600.0
483,Security Engineer,35,13.6,Казань,Среднее,Lead,Госсектор,Python,B2,11,600.0
484,Frontend Developer,31,3.9,Самара,PhD,Junior,IT,Python,B2,4,198.7
485,Software Engineer,41,16.2,Санкт-Петербург,Бакалавр,Architect,Финтех,Ruby,B1,15,600.0
486,System Administrator,34,9.2,Новосибирск,Магистр,Senior,Финтех,Kotlin,C2,11,482.0
487,Backend Developer,31,8.6,Санкт-Петербург,Бакалавр,Senior,Телеком,C#,C1,6,434.4
488,QA Engineer,25,2.6,Санкт-Петербург,Магистр,Junior,IT,Ruby,C1,4,134.0
489,Software Engineer,37,10.9,Краснодар,Среднее,Senior,Телеком,C++,C2,8,426.9
490,QA Engineer,35,12.1,Пермь,Бакалавр,Lead,Промышленность,Kotlin,B1,11,600.0
491,Software Engineer,37,10.8,Ростов-на-Дону,Бакалавр,Senior,Телеком,JavaScript,C1,11,549.4
492,Product Manager,19,1.0,Ростов-на-Дону,Магистр,Junior,Промышленность,C#,C2,2,214.9
493,Data Analyst,22,4.5,Екатеринбург,Бакалавр,Middle,IT,PHP,A1,6,247.5
494,Python Developer,27,3.7,Самара,Магистр,Junior,Медицина,Python,A2,6,229.9
495,Frontend Developer,37,12.2,Пермь,MBA,Lead,Ритейл,PHP,B1,12,600.0
496,System Administrator,24,5.5,Пермь,PhD,Middle,IT,Kotlin,A2,4,293.3
497,Data Scientist,36,16.7,Новосибирск,Бакалавр,Architect,Промышленность,Python,A2,15,600.0
498,DevOps Engineer,36,15.9,Самара,PhD,Lead,Госсектор,Python,A1,12,600.0
